YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEU_BIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2018,Q4,10,28,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,747,707,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-30,2018,Q4,10,30,20130,020130|02061098,Bos Taurus,Bos Taurus,-
2018,Q4,10,28,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-30,2018,Q4,10,30,2061098,020130|02061098,Bos Taurus,Bos Taurus,-
2018,Q4,10,22,TH,GB,"Southampton, P",GB,GB,TH,TH,GB,CVEDP,No,Human Consumption,5392,4906,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-26,2018,Q4,10,26,21039090,21039090,Stolephorus Spp,Stolephorus Spp,-
2018,Q4,10,8,MX,GB,London Gateway,GB,GB,MX,MX,GB,CVEDP,No,Animal Feedingstuff,6914,5428,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Animal Feedingstuff,-,-,-,2018-10-12,2018,Q4,10,12,230910,230910,Ungulates,Ungulates,-
2018,Q4,10,8,MX,GB,London Gateway,GB,GB,MX,MX,GB,CVEDP,No,Animal Feedingstuff,6914,5428,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Animal Feedingstuff,-,-,-,2018-10-11,2018,Q4,10,11,230910,230910,Ungulates,Ungulates,-
2018,Q4,10,18,US,GB,Manchester,GB,GB,US,US,GB,CVEDP,No,Other,327,8,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Other,-,-,-,2018-10-22,2018,Q4,10,22,5111000,5111000,Bos Taurus,Bos Taurus,-
2018,Q4,10,16,US,GB,Manchester,GB,GB,US,US,GB,CVEDP,No,Other,408,10,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Other,-,-,-,2018-10-18,2018,Q4,10,18,5111000,5111000,Bos Taurus,Bos Taurus,-
2018,Q4,10,19,NG,GB,Heathrow,GB,GB,NG,NG,GB,CVEDP,No,Human Consumption,396,396,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-20,2018,Q4,10,20,3076000,3076000,Gasteropoda,Gasteropoda,-
2018,Q4,10,25,CA,GB,Liverpool,GB,GB,CA,CA,GB,CVEDP,No,Human Consumption,1996,1814,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-15,2018,Q4,11,15,3038990,3038990,Anoplopoma Fimbria,Anoplopoma Fimbria,-
2018,Q4,10,25,CA,GB,Liverpool,GB,GB,CA,CA,GB,CVEDP,No,Human Consumption,2994,2722,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-15,2018,Q4,11,15,3038990,3038990,Anoplopoma Fimbria,Anoplopoma Fimbria,-
2018,Q4,10,5,NZ,GB,London Gateway,GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-08,2018,Q4,10,8,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,5,NZ,GB,London Gateway,GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,26129,24653,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-08,2018,Q4,10,8,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,2,NZ,GB,Heathrow,DE,DE,NZ,NZ,DE,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-02,2018,Q4,10,2,2042230,02042230|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,2,NZ,GB,Heathrow,DE,DE,NZ,NZ,DE,CVEDP,No,Human Consumption,2334,2179,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-02,2018,Q4,10,2,2042300,02042230|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,4,NZ,GB,London Gateway,GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,23756,23202,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-08,2018,Q4,10,8,20230,20230,Bos Taurus,Bos Taurus,-
2018,Q4,10,2,NZ,GB,London Gateway,GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,18292,17870,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-09,2018,Q4,10,9,2044310,2044310,Ovis Aries,Ovis Aries,-
2018,Q4,10,2,NZ,GB,London Gateway,GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,13550,12813,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-09,2018,Q4,10,9,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,2,NZ,GB,London Gateway,GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-09,2018,Q4,10,9,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,4,NZ,GB,London Gateway,GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,17767,17354,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-08,2018,Q4,10,8,20230,20230,Bos Taurus,Bos Taurus,-
2018,Q4,10,10,NZ,GB,London Gateway,GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,18437,18006,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-11,2018,Q4,10,11,20230,20230,Bos Taurus,Bos Taurus,-
2018,Q4,10,3,NZ,GB,Heathrow,GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,4168,3928,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-03,2018,Q4,10,3,2042250,2042250,Ovis Aries,Ovis Aries,-
2018,Q4,10,3,NZ,GB,Heathrow,GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-03,2018,Q4,10,3,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,3,NZ,GB,Heathrow,GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,4580,4326,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-03,2018,Q4,10,3,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,4,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-16,2018,Q4,10,16,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,4,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,12715,11915,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-16,2018,Q4,10,16,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,4,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,12349,11574,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-16,2018,Q4,10,16,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,4,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-16,2018,Q4,10,16,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,15,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-21,2018,Q4,10,21,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,15,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,12549,11773,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-21,2018,Q4,10,21,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,4,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-21,2018,Q4,10,21,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,4,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,12662,11853,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-21,2018,Q4,10,21,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,8,NZ,GB,Heathrow,NL,NL,NZ,NZ,NL,CVEDP,No,Human Consumption,1158,1076,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-08,2018,Q4,10,8,20130,20130,Bos Taurus,Bos Taurus,-
2018,Q4,10,8,NZ,GB,Heathrow,NL,NL,NZ,NZ,NL,CVEDP,No,Human Consumption,7699,7251,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-08,2018,Q4,10,8,2042230,02042230|02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,8,NZ,GB,Heathrow,NL,NL,NZ,NZ,NL,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-08,2018,Q4,10,8,2042250,02042230|02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,8,NZ,GB,Heathrow,NL,NL,NZ,NZ,NL,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-08,2018,Q4,10,8,2042300,02042230|02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,9,NZ,GB,Heathrow,NL,NL,NZ,NZ,NL,CVEDP,No,Human Consumption,118,109,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-10,2018,Q4,10,10,20130,20130,Bos Taurus,Bos Taurus,-
2018,Q4,10,24,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,25380,23827,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-29,2018,Q4,10,29,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,24,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-29,2018,Q4,10,29,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,9,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,25719,24114,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-29,2018,Q4,10,29,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,9,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-29,2018,Q4,10,29,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,9,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-29,2018,Q4,10,29,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,9,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,25598,24180,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-29,2018,Q4,10,29,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,15,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-03,2018,Q4,11,3,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,15,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,25223,23671,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-03,2018,Q4,11,3,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,15,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,12694,11913,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-01,2018,Q4,11,1,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,15,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-01,2018,Q4,11,1,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,15,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,26519,25019,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-03,2018,Q4,11,3,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,15,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-03,2018,Q4,11,3,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,16,NZ,GB,Heathrow,DE,DE,NZ,NZ,DE,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-17,2018,Q4,10,17,2042230,02042230|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,16,NZ,GB,Heathrow,DE,DE,NZ,NZ,DE,CVEDP,No,Human Consumption,2400,2213,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-17,2018,Q4,10,17,2042300,02042230|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,23,NZ,GB,Heathrow,NL,NL,NZ,NZ,NL,CVEDP,No,Human Consumption,959,892,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-25,2018,Q4,10,25,20130,20130,Bos Taurus,Bos Taurus,-
2018,Q4,10,23,NZ,GB,London Gateway,GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-06,2018,Q4,11,6,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,23,NZ,GB,London Gateway,GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,24507,23023,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-06,2018,Q4,11,6,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,23,NZ,GB,London Gateway,GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,26742,25242,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-06,2018,Q4,11,6,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,23,NZ,GB,London Gateway,GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-06,2018,Q4,11,6,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,23,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,18931,18496,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-11,2018,Q4,11,11,2044310,2044310,Ovis Aries,Ovis Aries,-
2018,Q4,10,23,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,25219,23667,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-11,2018,Q4,11,11,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,23,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-11,2018,Q4,11,11,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,23,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,20104,19584,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-11,2018,Q4,11,11,2069099,2069099,Ovis Aries,Ovis Aries,-
2018,Q4,10,23,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-11,2018,Q4,11,11,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,23,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,12778,12005,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-11,2018,Q4,11,11,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,31,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,16990,16520,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-01,2018,Q4,11,1,20230,20230,Bos Taurus,Bos Taurus,-
2018,Q4,10,31,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,17491,17109,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-03,2018,Q4,11,3,20230,20230,Bos Taurus,Bos Taurus,-
2018,Q4,10,31,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,16968,16500,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-01,2018,Q4,11,1,20230,20230,Bos Taurus,Bos Taurus,-
2018,Q4,10,30,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,17925,17462,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-17,2018,Q4,11,17,2044310,2044310,Ovis Aries,Ovis Aries,-
2018,Q4,10,30,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-18,2018,Q4,11,18,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,30,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,23719,22237,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-18,2018,Q4,11,18,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,30,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-18,2018,Q4,11,18,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,10,30,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,25251,23748,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-18,2018,Q4,11,18,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
