YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEUBIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2017,Q3,9,28,BR,GB,London Gateway,GB,GB,BR,Brazil,GB,CVEDP,No,Human Consumption,25838.5,25005,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Re-enforced,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-02,2017,Q4,11,2,2109939,2109939,Aves,Aves,Salmonella spp.
2017,Q3,9,28,BR,GB,London Gateway,NL,NL,BR,Brazil,GB,CVEDP,No,Human Consumption,27187.78,25800,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-03,2017,Q4,11,3,2109939,2109939,Aves,Aves,-
2017,Q3,9,28,BR,GB,London Gateway,NL,NL,BR,Brazil,GB,CVEDP,No,Human Consumption,27187.78,25800,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-01,2017,Q4,11,1,2109939,2109939,Aves,Aves,-
2017,Q3,9,28,IN,GB,"Southampton, P",GB,GB,IN,India,GB,CVEDP,No,Human Consumption,24000,17280,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Suspicion,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-03,2017,Q4,11,3,3061792,3061792,Penaeus Vannamei,Penaeus Vannamei,Chloramphenicol
2017,Q3,9,28,IN,GB,"Southampton, P",GB,GB,IN,India,GB,CVEDP,No,Human Consumption,24000,17280,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Suspicion,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-03,2017,Q4,11,3,3061792,3061792,Penaeus Vannamei,Penaeus Vannamei,Nitrofurans
2017,Q3,9,28,IN,GB,"Southampton, P",GB,GB,IN,India,GB,CVEDP,No,Human Consumption,24000,17280,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Suspicion,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-03,2017,Q4,11,3,3061792,3061792,Penaeus Vannamei,Penaeus Vannamei,Tetracyclines
2017,Q3,9,29,BR,GB,London Gateway,GB,GB,BR,Brazil,GB,CVEDP,No,Human Consumption,25838.5,25005,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Re-enforced,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-02,2017,Q4,11,2,2109939,2109939,Aves,Aves,Salmonella spp.
2017,Q3,9,29,BR,GB,London Gateway,GB,GB,BR,Brazil,GB,CVEDP,No,Human Consumption,25838.5,25005,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-07,2017,Q4,11,7,2109939,2109939,Aves,Aves,-
2017,Q3,9,29,CN,GB,"Southampton, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,26280,22500,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-04,2017,Q4,11,4,3047190,3047190,Gadus Morhua,Gadus Morhua,-
2017,Q4,10,2,NZ,GB,"Southampton, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,19851.75,18360,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-09,2017,Q4,11,9,3047950,03047950|03047950,Macruronus Novaezelandiae,Macruronus Novaezelandiae|Macruronus Novaezelandiae,-
2017,Q4,10,3,AU,GB,"Felixstowe, P",GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,12266.62,11817.42,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-01,2017,Q4,11,1,2044290,02044290|02044290|02044290|02044290|02044290|02044290,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,10,3,AU,GB,"Felixstowe, P",GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,21698.64,20891.92,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-01,2017,Q4,11,1,2042250,02042250|02042300|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,10,3,AU,GB,"Felixstowe, P",GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,21698.64,20891.92,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-01,2017,Q4,11,1,2042300,02042250|02042300|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,10,5,TH,GB,Heathrow,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,127.5,50,/,/,Satisfactory,Satisfactory,Not satisfactory,Yes,Suspicion,Not Satisfactory,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,9. Micro Biological Contamination,2017-11-03,2017,Q4,11,3,20714,20714,Gallus Gallus,Gallus Gallus,Salmonella spp.
2017,Q4,10,5,PY,GB,London Gateway,GB,GB,PY,Paraguay,GB,CVEDP,No,Human Consumption,4947.98,4602.29,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-04,2017,Q4,11,4,20130,20130,Bos Taurus,Bos Taurus,-
2017,Q4,10,5,PY,GB,London Gateway,GB,GB,PY,Paraguay,GB,CVEDP,No,Human Consumption,8196.5,7633.72,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-04,2017,Q4,11,4,20130,20130,Bos Taurus,Bos Taurus,-
2017,Q4,10,5,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,6422.5,4200,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-11-06,2017,Q4,11,6,5119190,5119190,Invertebrata,Invertebrata,-
2017,Q4,10,5,US,GB,London Gateway,GB,GB,US,United States,GB,CVEDP,No,Human Consumption,320,314,/,/,Not satisfactory,Satisfactory,Satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,1. Absence/Invalid Certificate,2017-11-13,2017,Q4,11,13,210610,210610,-,,-
2017,Q4,10,5,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,8157,5487.5,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-11-02,2017,Q4,11,2,230910,230910|42050090,Ungulates,Artiodactyla - Suidae|Ungulates,-
2017,Q4,10,5,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,8157,5487.5,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-11-02,2017,Q4,11,2,42050090,230910|42050090,Artiodactyla - Suidae,Artiodactyla - Suidae|Ungulates,-
2017,Q4,10,5,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,8087,5487.5,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-11-02,2017,Q4,11,2,230910,230910|42050090,Ungulates,Artiodactyla - Suidae|Ungulates,-
2017,Q4,10,5,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,8087,5487.5,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-11-02,2017,Q4,11,2,42050090,230910|42050090,Artiodactyla - Suidae,Artiodactyla - Suidae|Ungulates,-
2017,Q4,10,5,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,8033,5009.5,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-11-01,2017,Q4,11,1,230910,230910|42050090,Ungulates,Artiodactyla - Suidae|Ungulates,-
2017,Q4,10,5,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,8033,5009.5,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-11-01,2017,Q4,11,1,42050090,230910|42050090,Artiodactyla - Suidae,Artiodactyla - Suidae|Ungulates,-
2017,Q4,10,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,2278.8,1684.8,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-11-15,2017,Q4,11,15,230910,230910,Aves,Aves,-
2017,Q4,10,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,17761.76,13718.02,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-11-15,2017,Q4,11,15,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q4,10,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,17761.76,13718.02,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-11-15,2017,Q4,11,15,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q4,10,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,17561.28,13568.26,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-11-15,2017,Q4,11,15,230910,230910,Pesca,Pesca,-
2017,Q4,10,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,18556.86,13149.22,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-11-14,2017,Q4,11,14,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q4,10,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,18556.86,13149.22,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-11-14,2017,Q4,11,14,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q4,10,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,9395.53,6999.54,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-11-15,2017,Q4,11,15,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q4,10,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,9395.53,6999.54,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-11-15,2017,Q4,11,15,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q4,10,9,BD,GB,"Southampton, P",GB,GB,BD,Bangladesh,GB,CVEDP,No,Human Consumption,24000,10612.5,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-06,2017,Q4,11,6,3032500,03032500|03032500|03032500|03032900|03032900|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03069990,Cirrhinus Spp,Ailia Coila|Amblypharyngodon Mola|Anabas Testudineus|Apocryptes Bato|Channa Punctatus|Channa Spp|Cirrhinus Spp|Clarias Spp|Corica Soborna|Cyprinidae|Eutropiichthys Vacha|Glossogobius Giuris|Heteropneustes Fossilis|Labeo Bata|Labeo Calbasu|Lates Calcarifer|Lepidocephalichtys Guntea|Macrognathus Aculeatus|Metapenaeus Monoceros|Mystus Vittatus|Ompok Pabda|Oreochromis Spp|Otra Pesca|Puntius Sarana|Puntius Sophore|Sperata Aor|Wallago Attu,-
2017,Q4,10,9,BD,GB,"Southampton, P",GB,GB,BD,Bangladesh,GB,CVEDP,No,Human Consumption,24000,10612.5,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-06,2017,Q4,11,6,3032500,03032500|03032500|03032500|03032900|03032900|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03069990,Labeo Bata,Ailia Coila|Amblypharyngodon Mola|Anabas Testudineus|Apocryptes Bato|Channa Punctatus|Channa Spp|Cirrhinus Spp|Clarias Spp|Corica Soborna|Cyprinidae|Eutropiichthys Vacha|Glossogobius Giuris|Heteropneustes Fossilis|Labeo Bata|Labeo Calbasu|Lates Calcarifer|Lepidocephalichtys Guntea|Macrognathus Aculeatus|Metapenaeus Monoceros|Mystus Vittatus|Ompok Pabda|Oreochromis Spp|Otra Pesca|Puntius Sarana|Puntius Sophore|Sperata Aor|Wallago Attu,-
2017,Q4,10,9,BD,GB,"Southampton, P",GB,GB,BD,Bangladesh,GB,CVEDP,No,Human Consumption,24000,10612.5,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-06,2017,Q4,11,6,3032500,03032500|03032500|03032500|03032900|03032900|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03069990,Labeo Calbasu,Ailia Coila|Amblypharyngodon Mola|Anabas Testudineus|Apocryptes Bato|Channa Punctatus|Channa Spp|Cirrhinus Spp|Clarias Spp|Corica Soborna|Cyprinidae|Eutropiichthys Vacha|Glossogobius Giuris|Heteropneustes Fossilis|Labeo Bata|Labeo Calbasu|Lates Calcarifer|Lepidocephalichtys Guntea|Macrognathus Aculeatus|Metapenaeus Monoceros|Mystus Vittatus|Ompok Pabda|Oreochromis Spp|Otra Pesca|Puntius Sarana|Puntius Sophore|Sperata Aor|Wallago Attu,-
2017,Q4,10,9,BD,GB,"Southampton, P",GB,GB,BD,Bangladesh,GB,CVEDP,No,Human Consumption,24000,10612.5,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-06,2017,Q4,11,6,3032900,03032500|03032500|03032500|03032900|03032900|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03069990,Channa Punctatus,Ailia Coila|Amblypharyngodon Mola|Anabas Testudineus|Apocryptes Bato|Channa Punctatus|Channa Spp|Cirrhinus Spp|Clarias Spp|Corica Soborna|Cyprinidae|Eutropiichthys Vacha|Glossogobius Giuris|Heteropneustes Fossilis|Labeo Bata|Labeo Calbasu|Lates Calcarifer|Lepidocephalichtys Guntea|Macrognathus Aculeatus|Metapenaeus Monoceros|Mystus Vittatus|Ompok Pabda|Oreochromis Spp|Otra Pesca|Puntius Sarana|Puntius Sophore|Sperata Aor|Wallago Attu,-
2017,Q4,10,9,BD,GB,"Southampton, P",GB,GB,BD,Bangladesh,GB,CVEDP,No,Human Consumption,24000,10612.5,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-06,2017,Q4,11,6,3032900,03032500|03032500|03032500|03032900|03032900|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03069990,Channa Spp,Ailia Coila|Amblypharyngodon Mola|Anabas Testudineus|Apocryptes Bato|Channa Punctatus|Channa Spp|Cirrhinus Spp|Clarias Spp|Corica Soborna|Cyprinidae|Eutropiichthys Vacha|Glossogobius Giuris|Heteropneustes Fossilis|Labeo Bata|Labeo Calbasu|Lates Calcarifer|Lepidocephalichtys Guntea|Macrognathus Aculeatus|Metapenaeus Monoceros|Mystus Vittatus|Ompok Pabda|Oreochromis Spp|Otra Pesca|Puntius Sarana|Puntius Sophore|Sperata Aor|Wallago Attu,-
2017,Q4,10,9,BD,GB,"Southampton, P",GB,GB,BD,Bangladesh,GB,CVEDP,No,Human Consumption,24000,10612.5,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-06,2017,Q4,11,6,3038910,03032500|03032500|03032500|03032900|03032900|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03069990,Ailia Coila,Ailia Coila|Amblypharyngodon Mola|Anabas Testudineus|Apocryptes Bato|Channa Punctatus|Channa Spp|Cirrhinus Spp|Clarias Spp|Corica Soborna|Cyprinidae|Eutropiichthys Vacha|Glossogobius Giuris|Heteropneustes Fossilis|Labeo Bata|Labeo Calbasu|Lates Calcarifer|Lepidocephalichtys Guntea|Macrognathus Aculeatus|Metapenaeus Monoceros|Mystus Vittatus|Ompok Pabda|Oreochromis Spp|Otra Pesca|Puntius Sarana|Puntius Sophore|Sperata Aor|Wallago Attu,-
2017,Q4,10,9,BD,GB,"Southampton, P",GB,GB,BD,Bangladesh,GB,CVEDP,No,Human Consumption,24000,10612.5,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-06,2017,Q4,11,6,3038910,03032500|03032500|03032500|03032900|03032900|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03069990,Amblypharyngodon Mola,Ailia Coila|Amblypharyngodon Mola|Anabas Testudineus|Apocryptes Bato|Channa Punctatus|Channa Spp|Cirrhinus Spp|Clarias Spp|Corica Soborna|Cyprinidae|Eutropiichthys Vacha|Glossogobius Giuris|Heteropneustes Fossilis|Labeo Bata|Labeo Calbasu|Lates Calcarifer|Lepidocephalichtys Guntea|Macrognathus Aculeatus|Metapenaeus Monoceros|Mystus Vittatus|Ompok Pabda|Oreochromis Spp|Otra Pesca|Puntius Sarana|Puntius Sophore|Sperata Aor|Wallago Attu,-
2017,Q4,10,9,BD,GB,"Southampton, P",GB,GB,BD,Bangladesh,GB,CVEDP,No,Human Consumption,24000,10612.5,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-06,2017,Q4,11,6,3038910,03032500|03032500|03032500|03032900|03032900|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03069990,Anabas Testudineus,Ailia Coila|Amblypharyngodon Mola|Anabas Testudineus|Apocryptes Bato|Channa Punctatus|Channa Spp|Cirrhinus Spp|Clarias Spp|Corica Soborna|Cyprinidae|Eutropiichthys Vacha|Glossogobius Giuris|Heteropneustes Fossilis|Labeo Bata|Labeo Calbasu|Lates Calcarifer|Lepidocephalichtys Guntea|Macrognathus Aculeatus|Metapenaeus Monoceros|Mystus Vittatus|Ompok Pabda|Oreochromis Spp|Otra Pesca|Puntius Sarana|Puntius Sophore|Sperata Aor|Wallago Attu,-
2017,Q4,10,9,BD,GB,"Southampton, P",GB,GB,BD,Bangladesh,GB,CVEDP,No,Human Consumption,24000,10612.5,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-06,2017,Q4,11,6,3038910,03032500|03032500|03032500|03032900|03032900|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03069990,Apocryptes Bato,Ailia Coila|Amblypharyngodon Mola|Anabas Testudineus|Apocryptes Bato|Channa Punctatus|Channa Spp|Cirrhinus Spp|Clarias Spp|Corica Soborna|Cyprinidae|Eutropiichthys Vacha|Glossogobius Giuris|Heteropneustes Fossilis|Labeo Bata|Labeo Calbasu|Lates Calcarifer|Lepidocephalichtys Guntea|Macrognathus Aculeatus|Metapenaeus Monoceros|Mystus Vittatus|Ompok Pabda|Oreochromis Spp|Otra Pesca|Puntius Sarana|Puntius Sophore|Sperata Aor|Wallago Attu,-
2017,Q4,10,9,BD,GB,"Southampton, P",GB,GB,BD,Bangladesh,GB,CVEDP,No,Human Consumption,24000,10612.5,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-06,2017,Q4,11,6,3038910,03032500|03032500|03032500|03032900|03032900|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03038910|03069990,Clarias Spp,Ailia Coila|Amblypharyngodon Mola|Anabas Testudineus|Apocryptes Bato|Channa Punctatus|Channa Spp|Cirrhinus Spp|Clarias Spp|Corica Soborna|Cyprinidae|Eutropiichthys Vacha|Glossogobius Giuris|Heteropneustes Fossilis|Labeo Bata|Labeo Calbasu|Lates Calcarifer|Lepidocephalichtys Guntea|Macrognathus Aculeatus|Metapenaeus Monoceros|Mystus Vittatus|Ompok Pabda|Oreochromis Spp|Otra Pesca|Puntius Sarana|Puntius Sophore|Sperata Aor|Wallago Attu,-
