YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEUBIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2017,Q3,9,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,17878.4,13615.68,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-10,2017,Q4,10,10,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q3,9,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,17878.4,13615.68,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-10,2017,Q4,10,10,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q3,9,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,18115.2,13478.4,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-10,2017,Q4,10,10,230910,230910,Aves,Aves,-
2017,Q3,9,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,10744.8,8205.12,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-23,2017,Q4,10,23,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q3,9,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,10744.8,8205.12,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-23,2017,Q4,10,23,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q3,9,6,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,13496.32,12954.88,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-07,2017,Q4,10,7,2044250,2044250,Ovis Aries,Ovis Aries,-
2017,Q3,9,6,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,11382.12,10995.72,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-07,2017,Q4,10,7,2044250,2044250,Ovis Aries,Ovis Aries,-
2017,Q3,9,6,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,10739.44,10050.61,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-02,2017,Q4,10,2,2042250,02042250|02042290|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q3,9,6,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,10739.44,10050.61,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-02,2017,Q4,10,2,2042290,02042250|02042290|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q3,9,6,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,10739.44,10050.61,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-02,2017,Q4,10,2,2042300,02042250|02042290|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q3,9,6,BR,GB,London Gateway,GB,GB,BR,Brazil,GB,CVEDP,No,Human Consumption,25838.5,25005,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-09,2017,Q4,10,9,2109939,2109939,Aves,Aves,coccidiostats
2017,Q3,9,6,BR,GB,London Gateway,GB,GB,BR,Brazil,GB,CVEDP,No,Human Consumption,25838.5,25005,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-09,2017,Q4,10,9,2109939,2109939,Aves,Aves,Salmonella spp.
2017,Q3,9,6,BR,GB,London Gateway,GB,GB,BR,Brazil,GB,CVEDP,No,Human Consumption,25839,25005,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-02,2017,Q4,10,2,2109939,2109939,Aves,Aves,-
2017,Q3,9,6,BR,GB,London Gateway,GB,GB,BR,Brazil,GB,CVEDP,No,Human Consumption,24887.48,23760,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-02,2017,Q4,10,2,2109939,2109939,Aves,Aves,-
2017,Q3,9,6,BR,GB,London Gateway,NL,NL,BR,Brazil,GB,CVEDP,No,Human Consumption,27271.02,25800,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Suspicion,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-03,2017,Q4,10,3,2109939,2109939,Aves,Aves,Salmonella spp.
2017,Q3,9,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,1635,1080,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-10,2017,Q4,10,10,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q3,9,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,1635,1080,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-10,2017,Q4,10,10,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q3,9,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,13712.3,9457.25,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-10,2017,Q4,10,10,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q3,9,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,13712.3,9457.25,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-10,2017,Q4,10,10,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q3,9,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,9603.5,6927.6,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-10,2017,Q4,10,10,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q3,9,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,9603.5,6927.6,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-10,2017,Q4,10,10,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q3,9,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,8390.32,6175.92,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-10,2017,Q4,10,10,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q3,9,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,8390.32,6175.92,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-10,2017,Q4,10,10,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q3,9,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,15246.05,11255.28,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-10,2017,Q4,10,10,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q3,9,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,15246.05,11255.28,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-10,2017,Q4,10,10,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q3,9,7,CN,GB,"Southampton, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,25313,22500,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-04,2017,Q4,10,4,3047190,3047190,Gadus Morhua,Gadus Morhua,-
2017,Q3,9,7,BR,GB,London Gateway,NL,NL,BR,Brazil,GB,CVEDP,No,Human Consumption,27198.85,25800,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-02,2017,Q4,10,2,2109939,2109939,Aves,Aves,-
2017,Q3,9,7,TH,GB,"Southampton, P",GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,22220,20000,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-02,2017,Q4,10,2,160232,160232,Aves,Aves,-
2017,Q3,9,8,AU,GB,"Felixstowe, P",GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,19044,18768,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-03,2017,Q4,10,3,2044310,2044310,Ovis Aries,Ovis Aries,-
2017,Q3,9,8,AU,GB,"Felixstowe, P",GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,22952.4,22109.42,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-02,2017,Q4,10,2,2042250,02042250|02042300|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q3,9,8,AU,GB,"Felixstowe, P",GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,22952.4,22109.42,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-02,2017,Q4,10,2,2042300,02042250|02042300|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q3,9,8,AU,GB,"Felixstowe, P",GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,25063.9,23942.1,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-02,2017,Q4,10,2,20130,020130|020130,Bos Taurus,Bos Taurus|Bos Taurus,-
2017,Q3,9,8,AU,GB,"Felixstowe, P",GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,13674.6,13291.6,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-03,2017,Q4,10,3,20130,020130|020130|020130|020130|020130|020130|020130,Bos Taurus,Bos Taurus|Bos Taurus|Bos Taurus|Bos Taurus|Bos Taurus|Bos Taurus|Bos Taurus,-
2017,Q3,9,8,AU,GB,"Felixstowe, P",GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,642.6,623.65,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-03,2017,Q4,10,3,20130,020130|020130|020130|020130,Bos Taurus,Bos Taurus|Bos Taurus|Bos Taurus|Bos Taurus,-
2017,Q3,9,8,VN,GB,"Felixstowe, P",GB,GB,VN,Viet Nam,GB,CVEDP,No,Human Consumption,25521,14661,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-02,2017,Q4,10,2,3061792,3061792,Penaeus (Litopenaeus) Vannamei,Penaeus (Litopenaeus) Vannamei,-
