YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEU_BIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2018,Q4,11,1,AU,GB,London Gateway,GB,GB,AU,AU,GB,CVEDP,No,Technical Use,42011,41211,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Technical Use,-,-,-,2018-11-09,2018,Q4,11,9,41015030,41015030,Bos Taurus,Bos Taurus,-
2018,Q4,11,11,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,5182,4922,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-14,2018,Q4,11,14,20120,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q4,11,11,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-14,2018,Q4,11,14,20130,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q4,11,11,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-14,2018,Q4,11,14,20120,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q4,11,11,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,5211,4931,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-14,2018,Q4,11,14,20130,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q4,11,11,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,1117,1048,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-14,2018,Q4,11,14,20130,020130|02061095|02061098,Bos Taurus,Bos Taurus,-
2018,Q4,11,11,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-14,2018,Q4,11,14,2061095,020130|02061095|02061098,Bos Taurus,Bos Taurus,-
2018,Q4,11,11,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-14,2018,Q4,11,14,2061098,020130|02061095|02061098,Bos Taurus,Bos Taurus,-
2018,Q4,11,26,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-27,2018,Q4,11,27,20120,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q4,11,26,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,6468,6129,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-27,2018,Q4,11,27,20130,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q4,11,26,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,611,571,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-27,2018,Q4,11,27,20130,20130,Bos Taurus,Bos Taurus,-
2018,Q4,11,12,TH,GB,"Southampton, P",GB,GB,TH,TH,GB,CVEDP,No,Human Consumption,2696,2453,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-23,2018,Q4,11,23,21039090,21039090,Stolephorus Spp,Stolephorus Spp,-
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3035330,03035330|03035990|03038990|03061490|03074940,Sardinella Spp,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Arsenic As
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,8699,7924,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3035330,03035330|03035990|03038990|03061490|03074940,Sardinella Spp,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Cadmium Cd
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3035330,03035330|03035990|03038990|03061490|03074940,Sardinella Spp,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Lead Pb
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3035330,03035330|03035990|03038990|03061490|03074940,Sardinella Spp,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Mercury Hg
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3035990,03035330|03035990|03038990|03061490|03074940,Rastrelliger Kanagurta,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Arsenic As
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3035990,03035330|03035990|03038990|03061490|03074940,Rastrelliger Kanagurta,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Cadmium Cd
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3035990,03035330|03035990|03038990|03061490|03074940,Rastrelliger Kanagurta,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Lead Pb
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3035990,03035330|03035990|03038990|03061490|03074940,Rastrelliger Kanagurta,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Mercury Hg
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3038990,03035330|03035990|03038990|03061490|03074940,Otra Pesca,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Arsenic As
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3038990,03035330|03035990|03038990|03061490|03074940,Otra Pesca,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Cadmium Cd
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3038990,03035330|03035990|03038990|03061490|03074940,Otra Pesca,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Lead Pb
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3038990,03035330|03035990|03038990|03061490|03074940,Otra Pesca,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Mercury Hg
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3038990,03035330|03035990|03038990|03061490|03074940,Siganus Canaliculatus,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Arsenic As
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3038990,03035330|03035990|03038990|03061490|03074940,Siganus Canaliculatus,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Cadmium Cd
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3038990,03035330|03035990|03038990|03061490|03074940,Siganus Canaliculatus,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Lead Pb
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3038990,03035330|03035990|03038990|03061490|03074940,Siganus Canaliculatus,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Mercury Hg
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3061490,03035330|03035990|03038990|03061490|03074940,Portunus Pelagicus,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Arsenic As
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3061490,03035330|03035990|03038990|03061490|03074940,Portunus Pelagicus,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Cadmium Cd
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3061490,03035330|03035990|03038990|03061490|03074940,Portunus Pelagicus,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Lead Pb
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3061490,03035330|03035990|03038990|03061490|03074940,Portunus Pelagicus,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Mercury Hg
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3074940,03035330|03035990|03038990|03061490|03074940,Loligo Spp,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Arsenic As
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3074940,03035330|03035990|03038990|03061490|03074940,Loligo Spp,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Cadmium Cd
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3074940,03035330|03035990|03038990|03061490|03074940,Loligo Spp,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Lead Pb
2018,Q4,11,16,IN,GB,"Felixstowe, P",GB,GB,IN,IN,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-26,2018,Q4,11,26,3074940,03035330|03035990|03038990|03061490|03074940,Loligo Spp,Loligo Spp|Otra Pesca|Portunus Pelagicus|Rastrelliger Kanagurta|Sardinella Spp|Siganus Canaliculatus,Mercury Hg
2018,Q4,11,15,US,GB,Manchester,GB,GB,US,US,GB,CVEDP,No,Other,408,10,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Other,-,-,-,2018-11-19,2018,Q4,11,19,5111000,5111000,Bos Taurus,Bos Taurus,-
2018,Q4,11,13,US,GB,Manchester,GB,GB,US,US,GB,CVEDP,No,Other,408,10,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Other,-,-,-,2018-11-14,2018,Q4,11,14,5111000,5111000,Bos Taurus,Bos Taurus,-
2018,Q4,11,19,US,GB,Manchester,GB,GB,US,US,GB,CVEDP,No,Other,327,8,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Other,-,-,-,2018-11-21,2018,Q4,11,21,5111000,5111000,Bos Taurus,Bos Taurus,-
2018,Q4,11,2,US,GB,Stansted,GB,GB,US,US,GB,CVEDP,No,Technical Use,2,0,/,/,Not satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2018-11-05,2018,Q4,11,5,4090000,4090000,Invertebrata,Invertebrata,-
2018,Q4,11,12,CA,GB,Liverpool,GB,GB,CA,CA,GB,CVEDP,No,Human Consumption,615,492,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-15,2018,Q4,11,15,3061699,3061699,Pandalus Spp,Pandalus Spp,-
2018,Q4,11,12,CA,GB,Liverpool,GB,GB,CA,CA,GB,CVEDP,No,Human Consumption,645,299,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-15,2018,Q4,11,15,3061699,3061699,Pandalus Spp,Pandalus Spp,-
2018,Q4,11,12,CA,GB,Liverpool,GB,GB,CA,CA,GB,CVEDP,No,Human Consumption,2775,2220,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-15,2018,Q4,11,15,3061699,3061699,Pandalus Spp,Pandalus Spp,-
2018,Q4,11,30,CA,GB,Liverpool,GB,GB,CA,CA,GB,CVEDP,No,Human Consumption,50,45,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-12-11,2018,Q4,12,11,3038990,3038990,Otra Pesca,Otra Pesca,-
2018,Q4,11,30,CA,GB,Liverpool,GB,GB,CA,CA,GB,CVEDP,No,Human Consumption,249,227,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-12-11,2018,Q4,12,11,3031200,3031200,Oncorhynchus Tschawytscha,Oncorhynchus Tschawytscha,-
2018,Q4,11,30,CA,GB,Liverpool,GB,GB,CA,CA,GB,CVEDP,No,Human Consumption,50,45,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-12-11,2018,Q4,12,11,3048390,3048390,Hippoglossoides Spp,Hippoglossoides Spp,-
2018,Q4,11,27,CA,GB,Heathrow,GB,GB,CA,CA,GB,CVEDP,No,Human Consumption,1590,1272,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-12-03,2018,Q4,12,3,16043200,16043200,Oncorhynchus Keta,Oncorhynchus Keta,-
2018,Q4,11,4,NZ,GB,Heathrow,NL,NL,NZ,NZ,NL,CVEDP,No,Human Consumption,1876,1743,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-05,2018,Q4,11,5,20130,20130,Bos Taurus,Bos Taurus,-
2018,Q4,11,6,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-24,2018,Q4,11,24,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,11,6,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,12495,11743,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-24,2018,Q4,11,24,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,11,6,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-24,2018,Q4,11,24,2042250,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,11,6,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,24606,23124,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-24,2018,Q4,11,24,2042300,02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q4,11,15,NZ,GB,"Felixstowe, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,16988,16521,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-18,2018,Q4,11,18,20230,20230,Bos Taurus,Bos Taurus,-
2018,Q4,11,8,NZ,GB,"Tilbury, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-24,2018,Q4,11,24,2044310,02044310|02069099,Ovis Aries,Ovis Aries,-
2018,Q4,11,8,NZ,GB,"Tilbury, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,17422,16830,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-24,2018,Q4,11,24,2069099,02044310|02069099,Ovis Aries,Ovis Aries,-
2018,Q4,11,9,NZ,GB,Heathrow,NL,NL,NZ,NZ,NL,CVEDP,No,Human Consumption,1630,1533,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-09,2018,Q4,11,9,20130,20130,Bos Taurus,Bos Taurus,-
